MI_PRINX,COMPKEY,Comp Type,Pipe Unit ID,From Pit ID,To Pit ID,Num Parallel Lines,Unit Type,Unit Type Description,Description,Catchment,Sub Catchment,Ownership,Custodian,Pipe Type,Diameter,Pipe Length,Pipe Height,Average Depth,Up Invert Elevation,Down Invert Elevation,Grade,Pipe Shape,Material,Shape__Length,Last Refresh Date
1,10686,31,WcwWint5001ML,WcwWint0034MH,WcwWint0036MH,1,ML,Main Line,Main Line from WcwWint0034MH to WcwWint0036MH,Wcw,WcwWint,COP,SPM,RC,300,29.33,0,0,0,0,-499.5, ,RC,34.57296998199,6/27/2025 7:01:38 PM
2,10687,31,WcwWint5002ML,WcwWint0033MH,WcwWint0012GP,1,ML,Main Line,Main Line from WcwWint0033MH to WcwWint0012GP,West,WcwWint,COP,SPM,RC,300,60.76,0,0,10,10,0, ,RC,71.855919242009,6/27/2025 7:01:38 PM
3,10688,31,WcwWint5003ML,WcwWint0035MH,WcwWint0033MH,1,ML,Main Line,Main Line from WcwWint0035MH to WcwWint0033MH,West,WcwWint,COP,SPM,RC,320,29.66,0,0,11,11,0, ,RC,34.9538315159092,6/27/2025 7:01:38 PM
4,10689,31,WcwWint5004ML,WcwWint0011GP,WcwWint0034MH,1,ML,Main Line,Main Line from WcwWint0011GP to WcwWint0034MH,Wcw,WcwWint,COP,SPM,RC,225,1.22,0,0,10,10,0, ,RC,1.44648805613126,6/27/2025 7:01:38 PM
5,10690,31,WcwWint5005ML,WcwWint0012GP,WcwWint0034MH,1,ML,Main Line,Main Line from WcwWint0012GP to WcwWint0034MH,Wcw,WcwWint,COP,SPM,RC,225,7.3,0,0,0,0,0, ,RC,8.59800463118936,6/27/2025 7:01:38 PM
6,10691,31,WcwWint5006ML,WcwWint0014GP,WcwWint0035MH,1,ML,Main Line,Main Line from WcwWint0014GP to WcwWint0035MH,West,WcwWint,COP,SPM,RC,225,3.72,0,0,12,11,0, ,RC,4.40215792956868,6/27/2025 7:01:38 PM
7,10692,31,WcwWint5007ML,WcwWint0015GP,WcwWint0035MH,1,ML,Main Line,Main Line from WcwWint0015GP to WcwWint0035MH,West,WcwWint,COP,SPM,RC,225,12.09,0,0,0,0,0, ,RC,14.2973738502273,6/27/2025 7:01:38 PM
8,10693,31,WcwWint5008ML,WcwWint0013GP,WcwWint0040ND,1,ML,Main Line,Main Line from WcwWint0013GP to WcwWint0040ND,West,WcwWint,COP,SPM,RC,225,1.84,0,0,11,0,0, ,RC,2.17718482063388,6/27/2025 7:01:38 PM
9,10694,31,WcwWint5009ML,XxxXxxx0005GP,WcwWint0039MH,1,ML,Main Line,Main Line from XxxXxxx0005GP to WcwWint0039MH,West,WcwWint,COP,SPM,RC,300,23.1,0,0,5.06,4.98,1, ,RC,27.2763216679422,6/27/2025 7:01:38 PM
10,10695,31,WcwWint5010ML,WcwWint0003GP,WcwWint0007GP,1,ML,Main Line,Main Line from WcwWint0003GP to WcwWint0007GP,West,WcwWint,COP,SPM,RC,300,18.08,0,0,5.22,5.15,0, ,RC,21.4056103199097,6/27/2025 7:01:38 PM
11,10696,31,WcwWint5011ML,WcwWint0039MH,WcwWint0031MH,1,ML,Main Line,Main Line from WcwWint0039MH to WcwWint0031MH,West,WcwWint,COP,SPM,RC,600,67.14,0,1.95,4.92,4.84,0, ,RC,79.4663852815062,6/27/2025 7:01:38 PM
12,10697,31,WcwWint5012ML,WcwWint0036MH,WcwWint0003GP,1,ML,Main Line,Main Line from WcwWint0036MH to WcwWint0003GP,West,WcwWint,COP,SPM,RC,300,47.27,0,0,0,5.27,0, ,RC,55.6886864661269,6/27/2025 7:01:38 PM
13,10698,31,WcwWint5013ML,WcwWint0038MH,WcwWint0037MH,1,ML,Main Line,Main Line from WcwWint0038MH to WcwWint0037MH,West,WcwWint,COP,SPM,RC,300,10.35,0,0,7.26,7.12,0, ,RC,12.1905707241202,6/27/2025 7:01:38 PM
14,10699,31,WcwWint5014ML,WcwWint0041ND,WcwWint0038MH,1,ML,Main Line,Main Line from WcwWint0041ND to WcwWint0038MH,West,WcwWint,COP,SPM,RC,300,1.86,0,0,0,7.26,0.99, ,RC,2.19582804642696,6/27/2025 7:01:38 PM
15,10700,31,WcwWint5015ML,XxxXxxx0113MH,WcwWint0039MH,1,ML,Main Line,Main Line from XxxXxxx0113MH to WcwWint0039MH,West,WcwWint,COP,SPM,RC,450,20.14,0,1.02,0,4.99,1, ,RC,23.750212474828,6/27/2025 7:01:38 PM
16,10701,31,WcwWint5016ML,WcwWint0007GP,WcwWint0039MH,1,ML,Main Line,Main Line from WcwWint0007GP to WcwWint0039MH,West,WcwWint,COP,SPM,RC,300,18.65,0,0,5.1,4.98,0, ,RC,21.9942128643669,6/27/2025 7:01:38 PM
17,10702,31,WcwWint5017ML,XxxXxxx0006GP,WcwWint0039MH,1,ML,Main Line,Main Line from XxxXxxx0006GP to WcwWint0039MH,West,WcwWint,COP,SPM,RC,300,44.59,0,0,6.04,4.98,1, ,RC,52.7763565597064,6/27/2025 7:01:38 PM
18,10703,31,WcwWint5018ML,XxxXxxx0087MH,WcwWint0018MH,1,ML,Main Line,Main Line from XxxXxxx0087MH to WcwWint0018MH,West,WcwWint,COP,SPM,RC,300,9.9,0,1.03,10.25,10.25,0, ,RC,11.6560591099407,6/27/2025 7:01:38 PM
19,10704,31,WcwWint5019ML,WcwWint0018MH,WcwWint0019MH,1,ML,Main Line,Main Line from WcwWint0018MH to WcwWint0019MH,West,WcwWint,COP,SPM,RC,300,8.91,0,1.03,10.25,10.15,0, ,RC,10.4992734551959,6/27/2025 7:01:38 PM
20,10705,31,WcwWint5020ML,WcwWint0001GP,WcwWint0042ND,1,ML,Main Line,Main Line from WcwWint0001GP to WcwWint0042ND,West,WcwWint,COP,SPM,RC,300,13.84,0,0,9.72,9.52,0, ,RC,16.3366654994755,6/27/2025 7:01:38 PM
21,10706,31,WcwWint5021ML,XxxXxxx0003GP,WcwWint0042ND,1,ML,Main Line,Main Line from XxxXxxx0003GP to WcwWint0042ND,Wcw,WcwWint,COP,SPM,RC,300,4.71,0,0,9.7,9.51,0, ,RC,5.54688005515129,6/27/2025 7:01:38 PM
22,10707,31,WcwWint5022ML,XxxXxxx0090MH,WcwWint0021MH,1,ML,Main Line,Main Line from XxxXxxx0090MH to WcwWint0021MH,West,WcwWint,COP,SPM,RC,300,12.06,0,1.05,10.47,10.39,0, ,RC,14.210686211654,6/27/2025 7:01:38 PM
23,10708,31,WcwWint5023ML,WcwWint0021MH,WcwWint0020MH,1,ML,Main Line,Main Line from WcwWint0021MH to WcwWint0020MH,West,WcwWint,COP,SPM,RC,300,9.52,0,0,10.39,10.35,0, ,RC,11.2090815693515,6/27/2025 7:01:38 PM
24,10710,31,WcwWint5025ML,WcwWint0023MH,WcwWint0022MH,1,ML,Main Line,Main Line from WcwWint0023MH to WcwWint0022MH,West,WcwWint,COP,SPM,RC,300,9.11,0,0,0,0,0, ,RC,10.7354332469965,6/27/2025 7:01:38 PM
25,10711,31,WcwWint5026ML,WcwWint0002GP,WcwWint0044ND,1,ML,Main Line,Main Line from WcwWint0002GP to WcwWint0044ND,West,WcwWint,COP,SPM,RC,300,10.53,0,0,7.78,7.55,0, ,RC,12.4008176523583,6/27/2025 7:01:38 PM
26,10712,31,WcwWint5027ML,WcwWint0045ND,WcwWint0046ND,1,ML,Main Line,Main Line from WcwWint0045ND to WcwWint0046ND,West,WcwWint,COP,SPM,RC,150,4.66,0,0,0,0,0, ,RC,5.51492639833417,6/27/2025 7:01:38 PM
27,10713,31,WcwWint5028ML,WcwWint0025MH,WcwWint0024MH,1,ML,Main Line,Main Line from WcwWint0025MH to WcwWint0024MH,West,WcwWint,COP,SPM,RC,300,9.81,0,0,11.98,0,0, ,RC,11.5511396077584,6/27/2025 7:01:38 PM
28,10714,31,WcwWint5029ML,WcwWint0024MH,WcwWint0048ND,1,ML,Main Line,Main Line from WcwWint0024MH to WcwWint0048ND,West,WcwWint,COP,SPM,RC,300,4.32,0,0,0,0,0, ,RC,5.08992246111745,6/27/2025 7:01:38 PM
29,10715,31,WcwWint5030ML,WcwWint0026MH,WcwWint0017MH,1,ML,Main Line,Main Line from WcwWint0026MH to WcwWint0017MH,West,WcwWint,COP,SPM,RC,300,19.28,0,1.18,5.5,5.38,0, ,RC,22.8176590267354,6/27/2025 7:01:38 PM
